AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,ConditionStatement,ControlStatement,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,SearchKeywords,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders,Date_Started,Date_Extinguished,Length,fire_aqi,pm25_int,pm25_max,pm25_1day,nearby_cities,nearby_pop,nearby_green,available_green,nearby_maxdensity,County_up,month,ct_mth,County,2019,diff,dratio,income,year,temp,precip,dangerous
30274.0,False,USFS Angeles National Forest/Los Angeles County/CAL FIRE,,2013,True,/incidents/2013/5/30/powerhouse-fire/,,,Los Angeles,19,,,,2013-06-08T18:30:00Z,,False,True,,,,34.585595,Angeles National Forest,-118.423176,False,Powerhouse Fire,100.0,,True,The Powerhouse Fire burned in May and June 2013 on the Angeles National Forest in Los Angeles County. ,"Powerhouse Fire, May 2013, June 2013, Angeles National Forest, Los Angeles County
267",2013-05-30T15:28:00Z,Finalized,,,,,bf37805e-1cc2-4208-9972-753e47874c87,2013-06-08T18:30:00Z,,2013-05-30,2013-06-08,9.0,"(39.30000000000001, 15.0, 7.5)",39.30000000000001,15.0,7.5,['Acton' 'Quartz Hill' 'Santa Clarita'],329681,11522.3,11120.3,1162.0,LOS ANGELES,5,0.5,LOS ANGELES,66118.673005,1370.8780290000068,0.0207335986446119,29985,2013,65.9,0.55,0
712.0,False,CAL FIRE/Los Angeles County ,,2013,True,/incidents/2013/5/17/lake-fire/,,,Los Angeles,19,,,,2013-05-18T19:00:00Z,,False,True,,,,34.49149,I-5 Southbound at Lake Hughes Road,-118.610044,False,Lake Fire,100.0,,True,"The Lake Fire burned in May 2013 off I-5 Southbound at Lake Hughes Road, in Los Angeles County. ","Lake Fire, Los Angeles County, I-5 Southbound, Lake Hughes Road, May 2013",2013-05-17T13:23:00Z,Finalized,,,,,39af7eac-c188-411f-8c8a-d165c5fca4a9,2013-05-18T19:00:00Z,,2013-05-17,2013-05-18,1.0,"(-7.0, -2.0, -5.0)",-7.0,-2.0,-5.0,['Piru' 'Santa Clarita' 'Val Verde'],316985,10330.8,9911.3,1162.0,LOS ANGELES,5,0.5,LOS ANGELES,66118.673005,1370.8780290000068,0.0207335986446119,29985,2013,65.9,0.55,0
268.0,False,Angeles National Forest/Los Angeles County Fire,,2013,False,/incidents/2013/9/23/madre-fire/,,,Los Angeles,19,,,,2013-09-28T08:00:00Z,,False,True,,,,34.149,San Gabriel Canyon 1/4 mile west of the entrance station,-117.908,False,Madre Fire,100.0,,True,The Madre Fire burned September 2013 in the San Gabriel Canyon in Los Angeles County.,"Madre Fire, September 2013, Los Angeles County, San Gabriel Canyon",2013-09-23T18:00:00Z,Finalized,,,,,eb5a3f2a-0c25-417a-af78-bb0d643247c7,2013-09-28T08:00:00Z,,2013-09-23,2013-09-28,5.0,"(-39.7, -4.699999999999999, -5.800000000000001)",-39.7,-4.699999999999999,-5.800000000000001,"['Alhambra' 'Altadena' 'Arcadia' 'Avocado Heights' 'Azusa' 'Baldwin Park'
 'Bradbury' 'Charter Oak' 'Citrus' 'Claremont' 'Covina' 'Diamond Bar'
 'Duarte' 'East Pasadena' 'East San Gabriel' 'El Monte' 'Glendora'
 'Hacienda Heights' 'Industry' 'Irwindale' 'La Habra Heights' 'La Puente'
 'La Verne' 'Mayflower Village' 'Monrovia' 'Montclair' 'Montebello'
 'Monterey Park' 'North El Monte' 'Pasadena' 'Pomona' 'Rosemead'
 'Rowland Heights' 'San Antonio Heights' 'San Dimas' 'San Gabriel'
 'San Marino' 'Sierra Madre' 'South El Monte' 'South Pasadena'
 'South San Gabriel' 'South San Jose Hills' 'Temple City' 'Upland'
 'Valinda' 'Vincent' 'Walnut' 'West Covina' 'West Puente Valley'
 'Whittier']",2009196,60572.2,54702.5,5115.0,LOS ANGELES,9,0.7,LOS ANGELES,66118.673005,1370.8780290000068,0.0207335986446119,29985,2013,73.2,0.01,0
149.0,False,Los Angeles County Fire Department,,2013,True,/incidents/2013/5/28/magic-fire/,,,Los Angeles,19,,,,2013-05-29T15:30:00Z,,False,True,,,,34.419284,off Magic Mtn Parkway in Valencia,-118.58688,False,Magic Fire,100.0,,True,"The Magic Fire burned in May 2013, off Magic Mountain Parkway in Valencia in Los Angeles County. ","Magic Fire, May 2013, Magic Mountain Parkway, Valencia, Los Angeles County",2013-05-28T11:30:00Z,Finalized,,,,,794412f2-1ba2-4217-ac38-49272a96fb6f,2013-05-29T15:30:00Z,,2013-05-28,2013-05-29,1.0,"(-6.0, -2.1999999999999993, -2.1999999999999993)",-6.0,-2.2,-2.2,['Piru' 'San Fernando' 'Santa Clarita' 'Simi Valley' 'Val Verde'],467896,18670.1,17918.2,3955.0,LOS ANGELES,5,0.5,LOS ANGELES,66118.673005,1370.8780290000068,0.0207335986446119,29985,2013,65.9,0.55,0
100.0,False,Angeles National Forest / Los Angeles County Fire Department,,2013,False,/incidents/2013/8/9/bee-fire/,,,Los Angeles,19,,,,2013-08-11T19:15:00Z,,False,True,,,,0.0,San Francisquito Canyon Rd & Stator Ln,0.0,False,Bee Fire,100.0,,True,The Bee Fire burned in August 2013 on the Angeles National Forest near San Francisquito Canyon Road and Stator Lane in Los Angeles County. ,"Bee Fire, August 2013, San Francisquito Canyon Road, Stator Lane, Los Angeles County, Angeles National Forest, Los Angeles County Fire Department",2013-08-09T17:15:00Z,Finalized,,,,,c6044e8d-c054-44f2-bc92-24510df4deef,2013-08-11T19:15:00Z,,2013-08-09,2013-08-11,2.0,"(-1.1000000000000014, 1.5, 1.5)",-1.1000000000000014,1.5,1.5,[],0,0.0,0.0,,LOS ANGELES,8,1.0,LOS ANGELES,66118.673005,1370.8780290000068,0.0207335986446119,29985,2013,76.8,0.13,0
1952.0,False,Angeles National Forest and LA County Fire Department,,2014,False,/incidents/2014/1/16/colby-fire/,,,Los Angeles,19,,,,2014-01-27T10:00:00Z,,False,True,,,,34.1703,"near Morris Reservoir, north of Glendora",-117.8816,False,Colby Fire,100.0,,True,"The Colby Fire started on January 16, 2014 and burned 1,952 acres near Morris Reservoir, north of Glendora in Los Angeles County. ","LA County, Morris Reservoir, Glendora, LA County Fire Department, Angeles National Forest",2014-01-16T05:50:00Z,Finalized,,,,,1fe0ea01-23e8-47a1-8fbd-ced6cf655e4d,2014-01-27T10:00:00Z,,2014-01-16,2014-01-27,11.0,"(94.10000000000005, 17.6, 11.899999999999999)",94.10000000000004,17.6,11.9,"['Altadena' 'Arcadia' 'Avocado Heights' 'Azusa' 'Baldwin Park' 'Bradbury'
 'Charter Oak' 'Citrus' 'Claremont' 'Covina' 'Diamond Bar' 'Duarte'
 'East Pasadena' 'East San Gabriel' 'El Monte' 'Glendora'
 'Hacienda Heights' 'Industry' 'Irwindale' 'La Puente' 'La Verne'
 'Mayflower Village' 'Monrovia' 'Montclair' 'North El Monte' 'Pasadena'
 'Pomona' 'Rosemead' 'Rowland Heights' 'San Antonio Heights' 'San Dimas'
 'San Gabriel' 'San Marino' 'Sierra Madre' 'South El Monte'
 'South San Gabriel' 'South San Jose Hills' 'Temple City' 'Upland'
 'Valinda' 'Vincent' 'Walnut' 'West Covina' 'West Puente Valley']",1686904,53612.600000000006,48568.0,5115.0,LOS ANGELES,1,0.0,LOS ANGELES,66118.673005,1370.8780290000068,0.0207335986446119,29985,2014,56.9,0.07,0
415.0,False,Los Angeles County Fire ,,2015,False,/incidents/2015/6/24/calgrove-fire/,,,Los Angeles,19,,,,2015-06-26T17:00:00Z,,False,True,,,,34.361007,"Southbound Interstate 5, North of Calgrove, Santa Clarita ",-118.535793,False,Calgrove Fire ,100.0,,True,"The Calgrove Fire started on June 24 and burned 415 acres off Southbound Interstate 5, North of Calgrove in Santa Clarita (Los Angeles County.","Los Angeles County, Calgrove, Santa Clarita, JUne 24, 2015",2015-06-24T13:22:00Z,Finalized,,,,,e61d1b0b-4f19-460a-a6ac-e83a6e0a05a9,2015-06-26T17:00:00Z,,2015-06-24,2015-06-26,2.0,"(13.400000000000006, 5.199999999999999, 4.199999999999999)",13.400000000000006,5.199999999999999,4.199999999999999,['San Fernando' 'Santa Clarita' 'Simi Valley' 'Val Verde'],466091,18093.6,17359.1,3955.0,LOS ANGELES,6,0.8,LOS ANGELES,66118.673005,1370.8780290000068,0.0207335986446119,29985,2015,73.9,0.04,0
374.0,False,Los Angeles County Fire Department /  Montebello Fire Department,,2015,False,/incidents/2015/8/16/lincoln-fire/,,,Los Angeles,19,,,,2015-08-20T08:10:00Z,,False,True,,,,0.0,"off Lincoln Ave, in the Whittier Narrows Park, City of Montebello",0.0,False,Lincoln Fire,100.0,,True,"The Lincoln Fire started on August 16, 2015 off Lincoln Ave, in the Whittier Narrows Park in the City of Montebello in Los Angeles County.","Lincoln Ave, Whittier Narrows Park, City of Montebello, Los Angeles County Fire Department",2015-08-16T13:30:00Z,Finalized,,,,,0011ce0f-5493-4bef-b6e1-4674a0393b0c,2015-08-20T08:10:00Z,,2015-08-16,2015-08-20,4.0,"(41.80000000000001, 9.5, 9.5)",41.80000000000001,9.5,9.5,[],0,0.0,0.0,,LOS ANGELES,8,1.0,LOS ANGELES,66118.673005,1370.8780290000068,0.0207335986446119,29985,2015,77.9,0.01,0
200.0,False,USFS - Angeles National Forest ,,2015,False,/incidents/2015/7/17/pines-fire/,,,Los Angeles,19,,,,2015-08-04T08:15:00Z,,False,True,,,,34.367,Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines,-117.683,False,Pines Fire ,100.0,,True,The Pines Fire started on July 17 off Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines on the Angeles National Forest in Los Angeles County and burned 200 acres. ,"Pines Fire,Crest Highway, Wrightwood, Big Pine, Angeles National Forest, ",2015-07-17T21:30:00Z,Finalized,,,,,0c9948a7-98ad-4b42-888e-a7c2a4f536fa,2015-08-04T08:15:00Z,,2015-07-17,2015-08-04,18.0,"(-0.8000000000000114, 5.800000000000001, -0.10000000000000142)",-0.8000000000000114,5.800000000000001,-0.1000000000000014,['San Antonio Heights' 'Wrightwood'],7175,823.8000000000001,719.0,523.0,LOS ANGELES,7,1.0,LOS ANGELES,66118.673005,1370.8780290000068,0.0207335986446119,29985,2015,73.8,0.36,0
1109.0,False,Los Angeles County Fire,,2016,False,/incidents/2016/7/9/sage-fire/,,,Los Angeles,19,,,,2016-07-16T12:00:00Z,,False,True,,,,34.36763,"off of Calgrove Blvd, southwest of Santa Clarita",-118.57245,False,Sage Fire,100.0,,True,"The Sage Fire started on July 9, 2016 off of Calgrove Blvd, southwest of Santa Clarita (Los Angeles County)","Sage Fire, July 9, 2016, off of Calgrove Blvd, Santa Clarita, Los Angeles County, ",2016-07-09T12:04:00Z,Finalized,,,,,79b446a4-d809-4aa2-9f30-091a05ed697d,2016-07-16T12:00:00Z,,2016-07-09,2016-07-16,7.0,"(22.50000000000003, 7.550000000000001, 1.9500000000000028)",22.50000000000003,7.550000000000001,1.9500000000000028,"['Hidden Hills' 'Piru' 'San Fernando' 'Santa Clarita' 'Simi Valley'
 'Val Verde']",469786,19037.3,18246.5,3955.0,LOS ANGELES,7,1.0,LOS ANGELES,66118.673005,1370.8780290000068,0.0207335986446119,29985,2016,75.0,0.01,0
